Tim Duncan;5;25,2;8,6;0,341269841
Steven Adams;5;25,2;8;0,317460317
Nikola Mirotic;4;24,9;11,8;0,473895582
Langston Galloway;2;24,8;7,6;0,306451613
Nik Stauskas;2;24,8;8,5;0,342741935
Dante Cunningham;4;24,6;6,1;0,24796748
Matthew Dellavedova;1;24,6;7,5;0,304878049
Marco Belinelli;2;24,6;10,2;0,414634146
Tyson Chandler;5;24,5;7,2;0,293877551
Garrett Temple;2;24,4;7,3;0,299180328
Cody Zeller;4;24,3;8,7;0,358024691
Aaron Gordon;4;23,9;9,2;0,384937238
Terrence Ross;3;23,9;9,9;0,414225941
Jared Sullinger;5;23,6;10,3;0,436440678
Thabo Sefolosha;3;23,4;6,4;0,273504274
Alex Len;5;23,3;9;0,386266094
Roy Hibbert;5;23,2;5,9;0,254310345
Stanley Johnson;3;23,1;8,1;0,350649351
Doug McDermott;3;23;9,4;0,408695652
CJ Miles;3;22,9;11,8;0,515283843
Myles Turner;5;22,8;10,3;0,451754386
Amir Johnson;4;22,8;7,3;0,320175439
Gerald Green;3;22,6;8,9;0,39380531
Mario Chalmers;1;22,5;10,3;0,457777778
Jose Juan Barea;1;22,5;10,9;0,484444444
Shane Larkin;1;22,4;7,3;0,325892857
Alonzo Gee;2;22,4;4,5;0,200892857
Lance Thomas;3;22,3;8,2;0,367713004
Andre Roberson;2;22,2;4,8;0,216216216
Bismack Biyombo;5;22;5,5;0,25
Rodney Stuckey;1;22;8,9;0,404545455
Meyers Leonard;4;21,8;8,4;0,385321101
Austin Rivers;1;21,8;8,9;0,408256881
Darrell Arthur;4;21,7;7,5;0,34562212
Nikola Jokic;5;21,7;10;0,460829493
Donald Sloan;1;21,6;7;0,324074074
Luis Scola;4;21,5;8,7;0,404651163
Willie Cauley-Stein;5;21,4;7;0,327102804
E'Twaun Moore;2;21,4;7,5;0,35046729
Ty Lawson;1;21,4;5,7;0,26635514
Mirza Teletovic;4;21,3;12,2;0,572769953
Trey Burke;1;21,3;10,6;0,497652582
Wayne Ellington;2;21,3;7,7;0,361502347
Ben McLemore;2;21,2;7,8;0,367924528
Frank Kaminsky;5;21,1;7,5;0,355450237
Enes Kanter;5;21;12,7;0,604761905
Ed Davis;4;20,8;6,5;0,3125
Wesley Johnson;3;20,8;6,9;0,331730769
Andrew Bogut;5;20,7;5,4;0,260869565
Jordan Hill;4;20,7;8,8;0,425120773
Trevor Booker;4;20,7;5,9;0,285024155
Toney Douglas;1;20,7;8,7;0,420289855
Patty Mills;1;20,5;8,5;0,414634146
Shabazz Muhammad;3;20,5;10,5;0,512195122
Corey Brewer;3;20,4;7,2;0,352941176
Brandon Bass;4;20,3;7,2;0,354679803
Randy Foye;2;20,3;5,9;0,290640394
Tony Snell;3;20,3;5,3;0,261083744
Dennis Schroder;1;20,3;11;0,541871921
Ramon Sessions;1;20,3;9,9;0,487684729
Kelly Olynyk;5;20,2;10;0,495049505
Lavoy Allen;4;20,2;5,4;0,267326733
Larry Nance Jr.;4;20,1;5,5;0,273631841
Devin Harris;1;20;7,6;0,38
Gerald Henderson;2;19,9;8,7;0,43718593
PJ Hairston;3;19,9;6,2;0,311557789
Lance Stephenson;2;19,9;8,3;0,417085427
TJ McConnell;1;19,8;6,1;0,308080808
Manu Ginobili;2;19,6;9,6;0,489795918
Shaun Livingston;1;19,5;6,3;0,323076923
Ronnie Price;1;19,5;5,3;0,271794872
Clint Capela;5;19,1;7;0,366492147
Kosta Koufos;5;19;6,8;0,357894737
Tayshaun Prince;3;19;2,9;0,152631579
D.J. Augustin;1;19;7,5;0,394736842
Jon Leuer;4;18,7;8,5;0,454545455
Maurice Harkless;3;18,7;6,4;0,342245989
Jeremy Lamb;2;18,6;8,8;0,47311828
Anthony Tolliver;4;18,6;5,3;0,284946237
JaMychal Green;4;18,5;7,4;0,4
Raul Neto;1;18,5;5,9;0,318918919
Boris Diaw;5;18,2;6,4;0,351648352
Marcus Thornton;3;18,2;9,7;0,532967033
Paul Pierce;3;18,1;6,1;0,337016575
David West;4;18;7,1;0,394444444
Nemanja Bjelica;4;17,9;5,1;0,284916201
Mario Hezonja;2;17,9;6,1;0,340782123
Richard Jefferson;3;17,9;5,5;0,30726257
Derrick Williams;4;17,9;9,3;0,519553073
Bobby Portis;4;17,8;7;0,393258427
Joffrey Lauvergne;5;17,6;7,9;0,448863636
Jason Terry;2;17,5;5,9;0,337142857
Timofey Mozgov;5;17,4;6,3;0,362068966
Omer Asik;5;17,3;4;0,231213873
Trey Lyles;4;17,3;6,1;0,352601156
Channing Frye;4;17,1;6,1;0,356725146
Luc Mbah a Moute;4;17;3,1;0,182352941
Steve Blake;1;17;4,4;0,258823529
Vince Carter;2;16,8;6,6;0,392857143
Jerian Grant;1;16,6;5,6;0,337349398
Aaron Brooks;1;16,1;7,1;0,440993789
Kyle Anderson;2;16;4,5;0,28125
JaKarr Sampson;2;15,9;5,1;0,320754717
Leandro Barbosa;2;15,9;6,4;0,402515723
Markel Brown;2;15,8;5,9;0,373417722
Jason Smith;4;15,5;7,2;0,464516129
Mike Scott;4;15,3;6,2;0,405228758
Joe Ingles;3;15,3;4,2;0,274509804
Aron Baynes;4;15,2;6,3;0,414473684
Jonas Jerebko;4;15,1;4,4;0,291390728
